ID;QN1;QN2;QN3;QN4A;QN4B;QN4C;QN4D;QN4E;QN5;QN6;QN7A;QN7B;QN7C;QN7D;QN8A;QN8B;QN8C;QN8D;QN8E;QN8F;QN8G;QN8H;QN8I;QN8J;QN8K;QN9A;QN9B;QN9C;QN9D;QN10A;QN10B;QN10C;QN10D;QN10E;QN10F;QN11A;QN11B;QN11C;QN11D;QN12;QN13;QN14;QN15;QN16A;QN16B;QN16C;QN16D;QN16E;QN16F;QN16G;QN17A;QN17B;QN17C;QN17D;QN17E;QN17F;QN18A;QN18B;QN18C;QN18D;QN18E;QN19A;QN19B;QN19C;QN19D;QN19E;QN19F;QN19G;QN19H;QN19I;QN19J;QN19K;QN19L;QN19M;QN19N;QN19O;QN19P;QN19Q;QN19R;QN19S;QN19T;QN19U;QN20A;QN20B;QN20C;QN20D;QN20E;QN20F;QN20G;QN20H;QN20I;QN20J;QN20K;QN20L;QN20M;QN20N;QN20O;QN20P;QN21A;QN21B;QN21C;QN21D;QN21E;QN22A;QN22B;QN22C;QN23A;QN23B;QN23C;QN23D;QN23E;QN23F;QN23G;QN23H;QN23I;QN23J;QN23K;QN23L;QN23M;QN23N;QN23O;QN23P;QN23Q;QN23R;QN24A;QN24B;QN24C;QN24D;QN24E;QN24F;QN24G;QN24H;QN24I;QN25A;QN25B;QN25C;QN25D;QN25E;QN25F;QN25G;QN25H;QN25I;QN26A;QN26B;QN26C;QN27A;QN27B;QN27C;QN27D;QN27E;QN27F;QN27G;QN27H;QN27I;QN28A;QN28B;QN28C;QN28D;QN28E;QN28F;QN28G;QN28H;QN28I;QN28J;QN29A;QN29B;QN29C;QN30;QN31;QN32A;QN32B;QN32C;QN32D;QN32E;QN32F;QN33;QN34;QN35;QN36A;QN36B;QN36C;QN36D;QN36E;QN36F;QN37A;QN37B;QN37C;QN37D;QN37E;QN37F;QN37G;QN38A;QN38B;QN38C;QN39A;QN39B;QN39C;QN39D;QN40A;QN40B;QN40C;QN40D;QN41A;QN41B;QN41C;QN41D;METRO;REGION;DIVISION;OWNHOME;MSTATUS;EMPLOY;ADULTS;KIDSLESS6;KIDS611;KIDS1217;PARENT;AGE;AGE2;AGE3;EDUC;INCOME;RACE;REGVOTE;SEX;RELIGION;LENGTH;DEVICE_TYPE;WEIGHT;I_ATTEND;I_EDUC;I_GENDER;I_MARITAL;I_RACE;I_RELIGION
60001116;2;1;1;2;1;2;1;2;2;2;1;2;2;2;6;6;3;3;6;6;2;6;4;2;6;3;4;3;3;4;4;4;4;4;4;4;3;3;3;2;2;2;2;3;4;4;2;2;4;4;4;4;4;4;4;3;4;4;4;4;3;3;4;3;4;4;4;3;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;3;4;3;4;1;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;3;2;3;2;2;2;2;3;3;3;3;3;3;3;3;2;3;3;3;1;2;1;2;1;2;2;2;1;2;3;4;2;3;2;2;2;4;3;1;1;1;2;4;2;2;2;2;2;2;1;2;;3;2;2;2;2;3;2;4;4;4;3;2;4;2;4;5;2;1;1;2;2;1;1;2;1;2;2;1;5;3;6;1;3;1;2;0;1;0;1;34;;2;3;5;1;2;1;22;12,7;p;1,3989;1;2;1;3;1;3
60001117;1;1;4;4;4;4;4;2;3;4;1;2;1;1;6;2;4;6;6;6;4;2;1;6;6;4;2;4;2;3;3;2;2;3;3;2;2;3;4;1;1;1;3;2;2;2;3;2;4;4;5;4;4;4;4;4;3;4;2;2;1;3;4;4;4;4;2;2;3;3;4;4;3;3;3;2;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;2;1;2;3;1;3;2;2;1;1;1;1;3;1;2;3;3;1;3;2;1;2;2;2;1;2;4;1;1;2;3;2;2;2;2;1;3;2;1;1;2;2;1;1;3;2;2;2;2;2;3;3;4;3;4;4;3;2;2;2;3;2;2;2;2;1;2;2;2;1;2;2;2;1;4;8;2;1;1;1;0;0;0;;28;;1;5;2;1;1;1;95;13,4;p;0,3462;1;4;1;1;1;5
60001118;4;4;2;2;2;2;1;1;6;7;1;2;1;2;5;5;1;3;4;4;1;4;2;3;2;4;3;4;3;3;3;3;3;3;2;2;4;3;3;1;2;3;2;1;3;3;2;2;3;2;4;3;4;4;4;4;4;4;4;4;4;3;4;4;4;3;3;4;4;3;3;4;3;4;4;3;4;4;4;3;3;3;4;4;4;4;4;1;4;4;1;4;4;3;4;1;4;4;4;4;4;4;4;3;1;3;4;4;4;4;3;4;4;4;4;3;3;3;4;4;3;3;3;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;3;3;3;4;3;2;3;3;3;3;3;3;3;3;3;3;1;1;-1;1;3;1;1;1;3;1;1;2;2;1;1;1;2;2;2;2;2;1;2;2;2;3;2;2;3;5;5;4;5;4;5;5;3;3;2;1;2;2;1;1;2;2;2;2;1;1;2;3;4;9;2;1;1;1;0;0;0;;59;;3;4;4;2;1;2;1;23,7;p;0,4075;3;3;2;1;2;1
60001119;3;5;4;3;3;3;2;3;3;3;2;2;1;2;4;4;3;3;3;3;3;1;1;1;4;3;3;3;3;3;2;2;2;3;2;1;1;1;1;2;1;1;2;2;2;3;3;2;4;4;4;2;3;3;3;4;3;2;2;2;2;3;2;2;2;3;-1;3;3;3;2;2;1;2;2;2;4;4;2;2;2;2;4;4;3;2;3;3;2;3;3;4;4;4;4;2;4;4;4;-1;4;4;4;2;2;2;2;2;3;3;2;4;2;2;3;2;3;2;3;3;2;2;3;2;3;3;2;2;4;2;2;3;4;3;3;3;3;3;3;2;3;3;4;3;4;3;3;3;3;3;3;3;3;4;2;4;4;2;2;4;2;2;2;4;2;2;3;1;2;3;1;2;1;2;2;1;2;;2;2;3;2;2;3;2;3;2;4;4;3;5;2;4;2;1;2;2;1;1;2;2;1;2;1;2;2;1;2;3;1;3;1;2;0;3;0;1;38;;2;6;9;1;1;2;7;31,4;p;0,4976;4;5;2;3;1;4
60001120;3;8;4;4;1;4;1;4;5;4;1;1;1;1;4;3;5;6;6;6;4;5;3;3;6;3;3;4;1;1;1;1;1;1;1;1;1;1;1;2;1;1;3;1;1;1;1;2;2;2;4;3;4;1;2;4;3;3;1;1;1;3;3;2;3;3;2;2;3;3;2;4;1;2;1;1;4;4;2;1;2;3;4;2;1;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;1;4;2;2;4;2;4;1;1;1;1;1;4;1;4;2;1;2;1;1;1;1;2;1;2;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;4;4;4;4;4;4;4;2;1;4;1;3;1;1;1;3;4;1;2;3;2;2;2;1;1;1;1;2;4;2;;1;3;3;3;3;4;2;1;1;4;4;1;5;3;2;6;1;2;2;1;1;2;2;1;2;1;1;2;1;3;7;2;3;1;2;1;1;0;1;37;;2;6;5;1;2;2;99;21,5;c;1,1553;6;5;2;3;1;
60001121;4;8;1;1;1;1;1;1;2;4;2;2;2;2;6;6;4;3;3;6;2;2;1;1;2;4;4;-1;4;4;4;4;4;4;4;4;4;4;4;2;1;3;1;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;2;4;4;2;3;2;2;3;4;4;4;4;2;4;2;4;3;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;1;3;1;3;3;2;3;2;2;3;3;3;2;3;2;4;4;4;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;3;1;1;1;1;1;4;4;5;5;5;5;5;5;5;6;4;1;2;2;2;2;2;2;2;2;2;2;2;1;3;5;1;1;1;3;0;0;0;;25;;1;6;3;2;1;2;22;13,9;p;0,3031;6;5;2;1;2;3
60001123;1;2;4;4;4;4;4;4;4;4;1;2;2;1;6;3;5;5;5;5;5;6;1;1;6;2;2;1;1;2;2;2;2;2;4;1;2;2;1;1;1;1;3;2;2;3;1;1;4;4;3;3;4;3;4;4;3;3;1;2;1;4;2;2;2;4;3;2;4;3;2;3;2;1;1;2;4;4;1;2;1;1;4;4;2;1;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;3;4;2;3;3;4;3;3;3;2;3;2;3;4;3;3;4;3;4;4;3;2;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;2;3;4;4;4;4;4;3;2;3;3;4;4;2;4;4;4;2;2;4;4;4;2;4;2;3;3;1;1;1;1;2;1;1;3;2;2;2;2;1;4;3;4;4;4;4;4;3;2;2;4;1;2;2;1;2;2;2;2;2;2;2;2;1;3;5;1;3;1;2;0;1;0;1;35;;2;3;7;1;1;2;95;13,3;c;0,7254;2;2;2;3;1;5
60001125;1;2;4;4;4;4;4;4;3;4;1;2;1;2;2;5;2;4;4;4;2;2;2;3;6;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;2;1;4;4;1;4;3;1;4;4;2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;1;1;1;1;3;3;3;3;4;2;4;3;4;4;4;3;1;3;4;4;4;4;4;4;4;3;2;2;2;2;1;1;1;1;2;3;3;1;2;1;1;2;1;1;1;1;4;4;4;4;4;4;2;4;4;2;1;4;1;2;4;1;4;2;2;1;3;4;3;4;3;4;1;3;3;4;2;4;3;1;3;1;2;2;4;4;2;2;3;2;2;3;1;1;1;1;2;3;2;;1;3;2;2;1;4;1;1;1;3;3;1;1;1;3;3;1;2;2;1;1;2;2;1;1;2;2;1;3;3;7;1;3;1;4;1;1;0;1;32;;2;4;8;1;2;1;90;18,3;c;0,8141;2;3;1;3;1;5
60001126;3;4;4;2;2;2;1;3;3;4;1;2;1;8;1;6;1;2;2;3;1;6;1;1;1;1;1;1;1;1;2;2;1;2;2;1;4;2;1;2;2;2;2;1;3;2;2;2;2;2;4;3;4;3;5;3;1;3;2;3;1;3;3;4;3;2;2;1;4;3;1;2;3;3;3;1;3;4;1;1;1;1;4;4;3;4;4;3;4;3;4;4;2;4;2;1;1;4;1;1;4;3;2;1;4;1;2;3;3;3;2;3;3;3;3;1;1;1;3;3;1;1;2;1;2;2;1;1;2;1;1;2;2;1;1;-1;2;1;2;1;2;2;4;1;4;3;3;3;3;2;1;3;1;4;1;3;3;1;1;1;1;1;1;3;3;3;3;2;1;2;2;2;2;2;2;1;2;;1;1;2;1;1;3;1;3;3;4;4;3;2;5;6;6;1;2;2;1;1;2;2;1;2;1;2;2;2;1;2;2;2;7;2;0;0;0;;56;;3;3;1;1;2;2;2;30,8;p;4,5885;3;2;2;2;1;2
60001127;3;2;2;1;2;1;1;2;4;2;1;1;1;1;2;3;6;5;6;6;3;6;2;2;6;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;2;2;3;1;3;3;4;3;4;3;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;3;2;2;3;2;2;2;4;4;2;2;2;2;4;4;3;2;4;2;1;3;4;1;3;1;4;3;2;4;1;1;4;1;4;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;3;2;3;2;2;2;2;3;2;2;2;2;2;2;2;3;2;2;2;2;3;3;3;1;1;3;1;1;1;1;1;1;1;2;2;2;1;2;3;3;2;1;1;2;3;2;;1;3;3;3;3;3;5;5;5;5;5;5;5;1;6;5;1;1;1;2;1;1;1;2;1;1;1;2;-1;-1;-1;1;3;1;3;1;0;0;;25;;1;4;99;1;1;2;22;14,6;p;0,1946;2;3;2;3;1;3
60001128;1;1;4;4;4;4;4;4;4;6;2;2;2;2;4;4;5;4;4;4;4;4;2;3;5;3;3;3;3;1;1;1;1;1;1;3;4;3;4;2;2;2;2;3;4;4;1;2;4;4;4;4;3;4;4;4;4;4;3;3;3;4;3;3;3;4;3;4;4;3;3;4;3;3;4;3;4;4;3;3;4;4;4;4;3;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;3;2;4;3;4;4;4;3;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;3;3;4;2;4;4;4;4;4;4;4;4;2;4;4;4;1;4;3;3;3;3;3;2;4;4;3;4;3;1;1;3;4;1;1;3;1;2;2;3;2;2;3;1;2;1;2;2;1;1;2;3;1;3;2;3;3;2;2;2;2;2;2;2;1;4;4;1;1;2;1;1;1;2;1;1;1;2;1;1;3;6;1;3;1;2;0;0;0;;33;;2;5;9;1;1;1;90;20,4;p;0,7742;1;4;1;3;1;5
60001129;3;1;2;1;3;1;1;3;2;2;2;2;1;1;6;6;1;6;5;5;1;5;1;1;4;1;1;1;2;1;2;1;1;1;1;2;4;2;2;2;1;1;3;2;3;2;2;4;4;4;3;2;4;2;5;2;3;2;2;2;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;3;2;1;1;1;1;3;3;2;2;3;1;4;2;1;3;3;3;3;4;4;3;2;2;4;2;2;1;4;1;3;3;2;4;2;3;3;3;4;3;3;4;3;3;2;2;3;2;4;4;2;3;2;2;2;3;1;3;1;3;3;1;3;3;1;3;3;1;1;2;1;1;1;2;2;4;1;1;2;4;4;1;1;1;1;1;1;4;3;1;3;2;1;3;2;2;2;2;2;1;3;;1;1;1;1;1;3;1;1;1;3;2;1;1;4;1;1;2;1;1;1;1;1;1;1;1;2;2;1;2;3;7;1;3;4;2;0;0;0;;59;;3;3;8;1;1;2;1;34,5;c;0,9964;1;2;2;3;1;1
60001130;3;3;2;1;1;1;1;1;7;7;2;1;2;1;6;6;2;2;6;6;1;6;1;1;6;4;3;4;3;1;1;1;2;2;1;1;1;1;3;1;1;3;1;1;2;3;2;2;4;4;4;4;4;4;4;4;1;4;2;2;2;1;4;4;4;4;1;3;4;3;4;4;3;1;3;4;4;2;2;1;4;4;4;4;4;4;4;3;4;1;4;4;4;4;4;4;4;4;1;1;4;1;4;1;1;3;4;4;3;3;3;1;4;4;4;3;2;1;2;3;3;1;4;2;3;3;3;3;1;1;2;4;1;2;1;2;1;1;2;1;1;2;4;1;4;4;1;1;4;4;3;1;1;1;4;1;4;1;4;4;3;1;4;4;2;4;3;2;1;3;3;2;2;2;2;3;2;;1;1;2;1;1;4;1;2;1;5;4;3;5;2;3;3;1;2;2;1;1;2;2;1;2;1;1;2;2;4;9;2;1;1;1;2;0;2;1;37;;2;4;7;2;1;2;22;66,7;p;0,3032;3;3;2;1;2;3
60001131;1;2;4;3;3;3;3;3;6;4;1;2;1;2;5;3;5;6;6;6;4;4;2;2;5;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;4;2;4;3;3;4;3;3;3;2;2;3;3;2;2;2;3;3;3;3;2;3;2;3;2;2;4;3;2;3;2;3;4;4;2;3;3;3;3;4;2;4;4;3;2;2;3;4;4;4;4;4;4;3;2;3;2;2;2;2;2;3;2;2;3;2;2;3;2;2;3;3;3;2;2;2;3;3;3;3;2;3;3;2;2;2;2;2;2;2;2;2;2;3;4;3;2;3;3;4;3;3;4;4;3;4;4;1;2;1;1;2;3;4;2;4;3;2;1;3;2;2;2;1;2;2;2;;1;3;3;3;3;3;2;1;1;4;4;2;3;1;1;3;1;2;2;1;1;2;2;1;1;1;1;1;3;2;4;1;3;1;2;1;0;1;1;33;;2;4;5;1;1;2;97;21,8;p;1,0639;2;3;2;3;1;4
60001132;4;9;2;1;1;1;1;1;4;6;2;2;1;1;6;6;4;5;3;4;4;5;4;1;5;1;1;1;1;2;1;1;2;2;2;3;2;3;4;2;2;1;1;2;3;4;2;1;4;4;4;2;3;4;4;4;1;2;2;3;3;1;1;1;1;1;1;1;3;3;1;3;2;2;2;1;4;4;1;2;3;2;4;4;3;3;4;1;4;4;2;3;2;3;2;2;4;3;1;1;3;1;1;4;1;4;1;1;1;1;1;1;1;1;1;1;1;3;1;1;3;3;3;1;2;2;4;1;1;1;2;2;1;2;1;3;2;1;3;2;2;3;4;2;4;4;4;4;4;4;4;4;4;4;3;4;4;1;4;4;1;2;4;4;2;2;3;2;1;2;1;2;2;2;2;3;2;;1;3;2;3;1;4;3;2;3;4;4;4;5;3;4;5;1;2;2;1;1;2;2;1;1;1;2;2;-1;-1;-1;2;1;1;3;0;0;0;;29;;1;6;3;2;2;2;15;14,8;p;0,6497;6;5;2;1;2;1
60001133;1;2;4;3;3;3;3;3;6;7;1;2;1;1;1;1;4;2;2;2;1;1;1;1;5;2;2;1;2;3;3;3;3;3;3;3;4;2;1;1;1;3;3;2;3;2;2;2;4;4;2;4;4;4;4;4;2;4;3;2;3;3;3;2;3;2;3;3;3;3;3;3;2;3;3;3;4;4;3;3;3;3;2;2;3;3;4;3;4;3;3;3;4;3;3;3;4;4;4;4;4;3;4;3;1;4;3;3;3;3;3;4;4;3;3;2;2;2;3;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;2;4;4;4;4;4;3;3;4;4;4;4;4;2;1;4;2;1;3;4;1;1;1;3;2;3;3;3;1;2;1;2;1;2;;1;3;2;3;2;3;2;1;1;4;4;2;3;2;3;5;1;2;2;1;1;2;2;1;1;1;1;2;2;2;3;2;1;1;1;0;0;0;;30;;2;5;5;1;1;1;95;12,7;p;1,3019;2;4;1;1;1;5
60001134;3;1;3;3;2;3;1;3;4;4;2;1;2;1;6;1;5;5;5;5;5;6;1;5;5;3;3;4;3;1;1;1;1;1;1;3;4;4;2;2;2;2;2;1;1;3;1;1;1;4;5;4;4;4;5;4;2;2;1;1;4;4;4;4;4;4;3;4;4;1;1;1;1;1;3;1;4;4;1;1;3;3;4;4;4;4;4;4;4;2;2;1;4;1;2;1;4;4;4;4;4;4;4;3;1;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4;1;1;4;1;2;2;4;4;2;2;2;4;4;1;1;1;1;1;1;1;1;1;1;1;4;4;3;4;2;4;3;4;4;4;3;3;1;1;3;4;1;1;4;1;1;1;3;2;4;1;1;2;2;1;1;4;3;;3;2;2;3;1;3;1;1;1;5;4;4;4;3;3;3;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;7;1;0;0;0;;35;;2;4;1;1;1;1;90;21,3;c;2,3557;1;3;1;1;1;5
60001135;3;9;2;1;1;1;1;1;4;4;1;1;1;1;4;4;1;1;2;3;1;3;1;1;4;3;2;4;2;4;2;3;2;3;4;3;3;3;3;2;2;3;2;2;2;2;3;2;2;2;4;3;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;2;2;3;1;3;3;3;3;4;3;4;2;2;2;2;2;2;3;2;2;3;3;3;3;3;3;3;3;3;3;1;2;2;1;1;1;3;2;1;1;2;2;2;;2;2;2;2;2;3;2;2;2;2;2;2;2;4;5;6;1;1;1;1;1;1;1;1;1;1;1;1;2;4;9;2;4;1;1;0;0;0;;59;;3;7;3;2;1;2;90;19;t;0,5551;6;5;2;4;2;5
60001136;3;2;3;2;2;3;1;3;4;4;1;2;1;8;5;5;1;4;3;4;1;3;2;2;3;1;1;2;1;3;3;3;3;4;3;1;1;2;3;2;2;2;2;2;4;3;2;2;3;3;4;4;4;4;4;4;2;2;2;2;2;3;4;4;3;4;3;4;2;2;2;3;2;3;3;2;3;4;2;3;2;3;4;1;3;3;4;2;4;3;2;4;1;4;3;4;4;4;3;2;4;3;3;2;4;2;4;4;3;4;3;4;4;4;3;4;2;2;4;2;2;1;3;3;1;1;1;2;2;2;1;3;3;1;1;1;1;1;1;1;1;1;2;1;1;4;3;3;4;2;3;4;2;4;3;4;3;1;4;1;3;1;4;3;2;2;3;2;3;3;1;1;1;2;2;3;2;;2;3;4;3;3;3;3;2;5;4;4;3;5;2;2;2;1;2;2;1;1;2;2;2;1;2;2;2;3;2;4;1;3;1;2;3;0;0;1;36;;2;3;8;1;1;1;2;30,6;c;1,7251;2;2;1;3;1;2
60001138;4;8;1;1;2;1;1;1;1;1;2;2;2;1;1;6;6;1;6;6;2;1;3;6;5;2;1;4;1;4;4;3;4;4;4;4;4;3;4;2;2;3;2;4;4;4;2;2;4;4;4;4;4;4;5;4;4;4;3;4;3;4;3;4;4;4;4;4;4;2;3;4;3;4;3;4;3;1;3;4;3;3;4;4;4;1;4;4;4;4;4;4;4;3;3;1;4;4;4;4;4;4;4;1;4;1;4;4;4;4;2;4;4;4;4;3;4;4;4;4;3;2;4;3;3;4;4;4;4;2;3;4;4;4;4;4;4;2;4;4;4;3;4;1;1;3;1;1;1;2;1;1;1;1;4;4;4;1;3;4;1;3;4;3;1;1;1;2;3;3;3;1;1;2;2;1;3;;2;2;1;2;3;3;1;4;4;3;2;4;1;4;1;1;2;1;1;2;1;1;1;2;1;2;2;1;1;3;5;1;3;3;2;0;0;0;;80;;4;3;4;1;1;2;1;66,1;c;0,756;6;2;2;3;1;1
60001139;1;2;4;4;4;4;4;4;4;4;1;2;1;1;5;1;2;6;6;6;3;5;1;1;6;1;2;1;2;1;1;1;1;2;1;1;2;2;3;1;1;1;3;1;3;3;1;3;4;4;4;4;4;4;4;4;4;3;1;1;1;2;3;3;2;2;2;3;3;3;1;1;4;1;2;1;4;3;1;1;1;1;4;4;3;4;4;3;4;4;4;4;4;4;3;4;4;3;4;4;4;4;4;4;2;4;4;2;1;4;1;1;1;3;2;3;2;2;1;1;2;1;4;1;4;4;4;4;4;4;4;4;4;4;1;4;1;1;4;1;4;1;1;1;1;4;4;4;4;4;3;4;4;4;2;1;4;1;1;4;1;4;4;4;2;2;3;1;1;3;2;2;2;2;2;1;2;;1;1;1;1;1;4;1;1;1;4;4;1;1;1;2;2;1;2;2;1;1;2;2;1;2;1;2;2;1;2;4;1;3;1;2;0;1;0;1;34;;2;7;9;3;1;1;90;25;p;2,2633;2;5;1;3;4;5
60001140;3;1;4;4;2;4;2;4;6;7;1;2;1;2;6;5;6;6;6;6;5;6;4;4;6;3;2;3;2;1;1;1;1;1;1;1;2;1;3;2;2;2;2;4;4;2;4;2;4;4;5;3;1;3;4;4;2;3;2;2;1;3;4;3;3;2;2;3;3;2;2;3;3;3;3;2;4;4;3;3;3;3;4;4;4;4;4;4;3;4;4;3;4;2;1;2;4;4;4;4;4;4;4;4;1;4;4;4;4;4;3;3;4;4;2;2;2;3;4;4;1;2;2;3;2;2;2;1;3;1;2;2;3;2;2;3;1;1;4;1;3;3;4;1;4;4;3;4;4;4;4;4;4;4;4;4;4;1;4;4;1;1;4;4;2;2;3;1;1;3;1;2;2;2;1;1;2;;1;3;3;1;1;3;3;1;1;5;5;3;5;1;4;5;1;2;2;1;1;2;2;1;1;1;1;1;2;2;3;2;1;1;1;0;0;0;;45;;2;4;5;1;1;2;97;14,1;c;0,1946;1;3;2;1;1;4
60001141;3;6;2;1;1;1;1;2;2;1;1;2;1;2;2;2;5;1;6;6;3;1;2;2;2;3;1;4;1;4;4;4;4;4;4;2;4;1;3;1;1;3;3;1;3;2;1;1;3;1;2;4;4;1;4;1;1;1;1;1;1;3;3;2;4;3;4;2;4;3;1;3;1;1;1;1;1;1;1;1;4;1;2;1;3;3;4;2;4;1;4;2;4;1;3;2;4;2;1;1;4;1;4;1;4;1;3;4;3;4;4;4;4;3;4;1;2;2;4;3;2;3;2;1;1;1;4;1;1;1;1;4;1;1;1;4;4;1;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;3;1;2;1;1;1;3;3;1;1;3;2;1;1;2;2;2;2;1;3;1;1;1;1;1;1;1;3;1;4;4;1;1;4;1;3;2;1;2;1;1;2;2;1;1;2;1;2;2;1;5;2;3;1;1;2;4;0;0;0;;29;;1;4;4;1;1;1;2;19,4;p;1,2779;5;3;1;1;1;2
60001142;3;4;4;2;2;2;1;3;4;4;1;2;1;2;6;6;5;6;6;5;5;6;2;1;4;1;1;1;1;2;3;2;3;2;3;1;4;1;1;2;2;1;2;2;4;3;2;4;4;1;3;1;4;1;2;3;1;4;1;4;1;4;3;1;4;3;3;4;4;2;1;2;2;2;3;3;4;4;2;1;2;1;1;2;1;1;4;3;4;2;4;4;2;1;1;1;4;3;1;1;4;1;3;1;3;2;1;1;3;4;1;4;2;4;4;2;2;2;4;4;1;2;4;1;2;2;4;2;4;1;4;4;1;2;2;2;2;3;3;3;2;3;4;2;4;4;2;2;3;3;3;4;2;3;1;4;1;1;1;1;1;1;1;1;1;1;2;1;1;3;1;2;2;2;2;3;2;;1;1;1;2;1;3;2;3;2;4;1;3;2;1;4;6;2;1;1;2;2;1;2;2;1;2;2;2;2;1;1;1;2;6;2;0;0;0;;55;;3;5;7;1;1;2;2;17,9;p;0,3149;3;4;2;2;1;2
60001143;1;2;4;4;4;4;4;4;6;7;1;1;1;1;4;3;5;6;4;1;4;1;2;6;6;2;1;2;1;3;3;3;3;3;2;1;3;3;3;1;2;1;2;2;1;2;1;1;4;3;4;3;4;4;4;4;4;3;2;3;3;2;2;3;2;4;4;4;4;2;4;4;2;4;4;4;4;4;4;4;4;4;3;4;3;4;4;3;4;4;4;4;4;3;1;4;4;4;4;4;4;4;4;4;1;4;3;4;4;4;3;4;4;4;3;3;3;3;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;1;4;4;4;4;4;4;4;2;4;4;2;4;4;1;3;4;1;4;4;4;1;1;3;1;3;3;1;2;1;2;2;3;2;;1;1;3;2;1;4;3;1;1;4;2;1;3;2;2;4;1;2;2;1;1;2;2;1;1;1;2;1;1;3;5;1;3;1;2;1;0;0;1;42;;2;6;6;3;1;1;90;20,3;p;0,8273;2;5;1;3;4;5
60001144;3;2;2;1;2;1;1;2;4;2;1;2;1;2;5;6;6;6;6;6;1;5;5;1;2;1;1;2;1;1;2;2;3;2;2;1;1;1;3;2;2;2;1;1;2;1;2;2;4;2;3;1;3;4;4;4;2;1;1;1;1;3;1;3;4;3;2;4;3;2;2;2;2;2;3;3;4;3;2;1;2;2;4;3;1;2;4;1;4;2;1;3;3;1;1;2;4;2;1;2;1;1;2;2;3;3;2;4;2;4;2;3;2;4;4;2;1;2;2;1;1;1;1;1;3;3;4;2;3;1;4;4;3;2;2;3;3;2;2;2;3;3;3;1;2;3;2;2;1;4;2;3;3;2;1;1;4;1;1;4;1;1;1;4;4;4;4;2;1;2;1;2;1;1;1;4;3;;1;1;1;1;1;3;2;5;3;4;3;2;5;2;2;2;1;1;1;1;2;1;1;2;1;2;2;1;3;3;5;2;3;2;3;0;0;0;;49;;2;3;7;1;2;2;22;23,4;p;1,2237;2;2;2;3;1;3
